,Contents
1,3.54
2,0.993
3,0.168
4,2.44
5,0.0732
6,0.898
7,2.06
8,106
9,0.0527
10,1.16
11,0.868
12,2.06
13,1.46
14,1.89
15,2.34
16,1.17
17,0.395
18,1.51
19,0.117
20,0.485
21,0.341
22,5.24
23,5.57
24,1.38
25,0.494
26,0.924
27,0.976
28,6.16
29,1.42
30,0.0927
31,0.341
32,1.31
33,0.179
34,0.223
35,1.4
36,0.0347
37,0.747
38,2.49
39,3.8
40,0.393
41,1.33
42,1.18
43,0.713
44,0.153
45,0.654
46,2.97
47,0.951
48,3.57
49,3.75
50,0.0942
51,1.55
52,9.37
53,0.615
54,0.416
55,0.29
56,0.0832
57,0.504
58,2.86
59,45.2
60,18.6
61,0.541
62,0.476
63,1.61
64,15.7
65,0.229
66,0.108
67,0.982
68,0.521
69,1.7
70,4.27
71,0.779
72,0.52
73,1.67
74,1.34
75,1.67
76,1.51
77,0.372
78,0.278
79,0.185
80,0.281
81,0.667
82,0.35
83,0.664
84,0.19
85,0.325
86,0.228
87,0.264
88,0.302
89,0.56
90,0.327
91,0.89
92,0.602
93,3.1
94,5.4
95,0.29
96,0.277
97,0.477
98,2.4
99,1.13
100,0.779
101,1.78
102,1.31
103,2.11
104,0.112
105,0.899
106,0.314
107,0.202
108,0.245
109,9.42
110,0.668
111,0.534
112,0.214
113,0.321
114,0.901
115,0.0733
116,15.5
117,0.387
118,0.699
119,0.634
120,0.443
121,0.399
122,0.202
123,0.693
124,0.365
125,0.829
126,0.135
127,6.39
128,0.334
129,0.569
130,0.0524
131,1.18
132,0.604
133,0.733
134,2.41
135,0.182
136,0.8
137,0.16
138,0.047
139,1.39
140,0.963
141,1.03
142,1.7
143,0.1
144,0.387
145,0.291
146,9.44
147,0.375
148,32.5
149,1
150,0.75
151,0.15
152,1.23
153,0.516
154,3.2
155,0.7
156,0.924
157,2.7
158,0.26
159,1.03
160,0.405
161,0.45
162,0.659
163,8.74
164,0.423
165,1.3
166,0.175
167,0.218
168,2
169,1.2
170,2.25
171,15.6
172,0.142
173,0.57
174,10
175,1.23
176,4.43
177,0.652
178,0.155
179,0.425
180,0.05
181,1.2
182,0.314
183,1.8
184,1.4
185,1.5
186,5.4
187,0.116
188,0.172
189,4.5
190,1.25
191,0.292
192,2.89
193,0.579
194,0.434
195,0.359
196,0.319
197,0.836
198,0.501
199,0.193
200,0.482
201,1.35
202,2.41
203,0.482
204,0.588
205,0.583
206,7.23
207,1.45
208,0.675
209,0.482
210,1.16
211,2.89
212,0.299
213,0.0743
214,8.68
215,2.89
216,0.264
217,11.6
218,0.122
219,0.347
220,0.386
221,0.164
222,0.0637
223,0.0966
224,0.146
225,0.145
226,0.428
227,0.162
228,3.57
229,0.641
230,0.399
231,1.54
232,0.48
233,0.272
234,0.145
235,0.0771
236,1.04
237,0.234
238,0.476
239,0.13
240,1.74
241,0.473
242,0.576
243,0.355
244,3.57
245,3.28
246,0.355
247,0.609
248,0.791
249,0.393
250,0.603
251,0.0649
252,0.68
253,0.464
254,13.5
255,0.0677
256,3.87
257,0.603
258,0.196
259,2.42
260,0.16
261,3.07
262,0.371
263,0.352
264,0.939
265,0.928
266,0.801
267,0.928
268,0.557
269,0.209
270,0.186
271,1.58
272,0.327
273,0.294
274,0.102
275,0.0937
276,0.116
277,2.32
278,0.24
279,0.475
280,0.158
281,0.462
282,0.278
283,16.4
284,10.7
285,0.904
286,0.209
287,0.132
288,0.359
289,0.219
290,1.21
291,0.119
292,0.423
293,0.649
294,0.385
295,2.5
296,0.387
297,0.314
298,1.48
299,0.355
300,1.95
301,1.3
302,1.92
303,0.186
304,0.928
305,0.325
306,10.6
307,0.887
308,0.621
309,0.444
310,3.55
311,0.25
312,1.13
313,17.7
314,0.71
315,1.39
316,3.73
317,0.741
318,1.6
319,0.624
320,3.77
321,0.621
322,17.7
323,0.444
324,0.111
325,0.227
326,0.225
327,17.7
328,0.177
329,0.71
330,4.88
331,2.66
332,3.11
333,2.66
334,4.44
335,0.505
336,9.21
337,0.728
338,0.642
339,0.146
340,1.77
341,6.57
342,1.51
343,0.532
344,0.648
345,4.44
346,1.33
347,0.525
348,0.71
349,16
350,0.887
351,0.554
352,0.22
353,0.355
354,0.257
355,1.33
356,0.133
357,2.66
358,1.33
359,5.32
360,14.2
361,0.776
362,0.133
363,0.296
364,0.508
365,0.0517
366,2.54
367,0.159
368,16.9
369,0.436
370,3.13
371,0.245
372,1.44
373,33.6
374,0.762
375,0.229
376,9.01
377,0.599
378,0.183
379,8.47
380,6.07
381,1.35
382,1.27
383,0.425
384,0.635
385,0.347
386,4.23
387,0.423
388,0.254
389,1.52
390,0.717
391,0.0373
392,0.103
393,0.157
394,0.593
395,0.271
396,0.0339
397,7.49
398,0.339
399,8.47
400,0.254
401,1.27
402,0.542
403,0.436
404,0.559
405,0.254
406,0.43
407,1.27
408,0.423
409,0.785
410,1.19
411,3.64
412,0.271
413,2.12
414,0.172
415,0.847
416,0.127
417,5.93
418,0.302
419,0.0881
420,4.23
421,1.69
422,2.12
423,1.19
424,0.0254
425,2.12
426,0.235
427,0.169
428,0.0525
429,0.508
430,0.401
431,0.33
432,0.0347
433,0.701
434,0.0627
435,0.0883
436,0.422
437,0.573
438,0.128
439,0.825
440,3.21
441,2.48
442,0.32
443,0.165
444,0.743
445,0.788
446,5.29
447,0.153
448,0.743
449,0.335
450,0.8
451,0.348
452,1.65
453,2.39
454,0.242
455,0.347
456,0.432
457,0.825
458,1.28
459,0.432
460,0.825
461,0.262
462,9.9
463,2.89
464,0.165
465,3.16
466,0.0751
467,0.0553
468,0.413
469,0.578
470,0.163
471,0.48
472,0.99
473,0.342
474,5.78
475,1.24
476,0.879
477,0.274
478,0.0314
479,0.375
480,3.55
481,2.26
482,0.205
483,0.0941
484,0.111
485,1.24
486,0.99
487,0.199
488,12.3
489,0.295
490,0.623
491,0.162
492,0.371
493,0.759
494,0.444
495,0.0619
496,0.165
497,0.33
498,2.23
499,0.305
500,132
501,15.2
502,12.3
503,1.4
504,0.401
505,0.371
506,0.743
507,0.335
508,2.48
509,0.495
510,0.429
511,0.347
512,0.199
513,2.31
514,0.0619
515,0.33
516,0.206
517,2.39
